ぜんこくNo.,名前,名前(フォルム),英語名,タイプ1,タイプ2,HP,攻撃,防御,特攻,特防,素早さ,とくせい1,とくせい2,夢特性
810,サルノリ,サルノリ,Grookey,くさ,,50,65,50,40,40,65,しんりょく,,*グラスメイカー
811,バチンキー,バチンキー,Thwackey,くさ,,70,85,70,55,60,80,しんりょく,,*グラスメイカー
812,ゴリランダー,ゴリランダー,Rillaboom,くさ,,100,125,90,60,70,85,しんりょく,,*グラスメイカー
813,ヒバニー,ヒバニー,Scorbunny,ほのお,,50,71,40,40,40,69,もうか,,*リベロ
814,ラビフット,ラビフット,Raboot,ほのお,,65,86,60,55,60,94,もうか,,*リベロ
815,エースバーン,エースバーン,Cinderace,ほのお,,80,116,75,65,75,119,もうか,,*リベロ
816,メッソン,メッソン,Sobble,みず,,50,40,40,70,40,70,げきりゅう,,*スナイパー
817,ジメレオン,ジメレオン,Drizzile,みず,,65,60,55,95,55,90,げきりゅう,,*スナイパー
818,インテレオン,インテレオン,Inteleon,みず,,70,85,65,125,65,120,げきりゅう,,*スナイパー
824,サッチムシ,サッチムシ,Blipbug,むし,,25,20,20,25,45,45,むしのしらせ,ふくがん,*テレパシー
825,レドームシ,レドームシ,Dottler,むし,エスパー,50,35,80,50,90,30,むしのしらせ,ふくがん,*テレパシー
826,イオルブ,イオルブ,Orbeetle,むし,エスパー,60,45,110,80,120,90,むしのしらせ,おみとおし,*テレパシー
10,キャタピー,キャタピー,Caterpie,むし,,45,30,35,20,20,45,りんぷん,,*にげあし
11,トランセル,トランセル,Metapod,むし,,50,20,55,25,25,30,だっぴ,,
12,バタフリー,バタフリー,Butterfree,むし,ひこう,60,45,50,90,80,70,ふくがん,,*いろめがね
736,アゴジムシ,アゴジムシ,Grubbin,むし,,47,62,45,55,45,46,むしのしらせ,,
737,デンヂムシ,デンヂムシ,Charjabug,むし,でんき,57,82,95,55,75,36,バッテリー,,
738,クワガノン,クワガノン,Vikavolt,むし,でんき,77,70,90,145,75,43,ふゆう,,
163,ホーホー,ホーホー,Hoothoot,ノーマル,ひこう,60,30,30,36,56,50,ふみん,するどいめ,*いろめがね
164,ヨルノズク,ヨルノズク,Noctowl,ノーマル,ひこう,100,50,50,86,96,70,ふみん,するどいめ,*いろめがね
821,ココガラ,ココガラ,Rookidee,ひこう,,38,47,35,33,35,57,するどいめ,きんちょうかん,*はとむね
822,アオガラス,アオガラス,Corvisquire,ひこう,,68,67,55,43,55,77,するどいめ,きんちょうかん,*はとむね
823,アーマーガア,アーマーガア,Corviknight,ひこう,はがね,98,87,105,53,85,67,プレッシャー,きんちょうかん,*ミラーアーマー
819,ホシガリス,ホシガリス,Skwovet,ノーマル,,70,55,55,35,35,25,ほおぶくろ,,*くいしんぼう
820,ヨクバリス,ヨクバリス,Greedent,ノーマル,,120,95,95,55,75,20,ほおぶくろ,,*くいしんぼう
519,マメパト,マメパト,Pidove,ノーマル,ひこう,50,55,50,36,30,43,はとむね,きょううん,*とうそうしん
520,ハトーボー,ハトーボー,Tranquill,ノーマル,ひこう,62,77,62,50,42,65,はとむね,きょううん,*とうそうしん
521,ケンホロウ,ケンホロウ,Unfezant,ノーマル,ひこう,80,115,80,65,55,93,はとむね,きょううん,*とうそうしん
827,クスネ,クスネ,Nickit,あく,,40,28,28,47,52,50,にげあし,かるわざ,*はりこみ
828,フォクスライ,フォクスライ,Thievul,あく,,70,58,58,87,92,90,にげあし,かるわざ,*はりこみ
263,ジグザグマ,ジグザグマ(ガラルのすがた),Zigzagoon,あく,ノーマル,38,30,41,30,41,60,ものひろい,くいしんぼう,*はやあし
264,マッスグマ,マッスグマ(ガラルのすがた),Linoone,あく,ノーマル,78,70,61,50,61,100,ものひろい,くいしんぼう,*はやあし
862,タチフサグマ,タチフサグマ,Obstagoon,あく,ノーマル,93,90,101,60,81,95,すてみ,こんじょう,*まけんき
831,ウールー,ウールー,Wooloo,ノーマル,,42,40,55,40,45,48,もふもふ,にげあし,*ぼうだん
832,バイウールー,バイウールー,Dubwool,ノーマル,,72,80,100,60,90,88,もふもふ,ふくつのこころ,*ぼうだん
270,ハスボー,ハスボー,Lotad,みず,くさ,40,30,30,40,50,30,すいすい,あめうけざら,*マイペース
271,ハスブレロ,ハスブレロ,Lombre,みず,くさ,60,50,50,60,70,50,すいすい,あめうけざら,*マイペース
272,ルンパッパ,ルンパッパ,Ludicolo,みず,くさ,80,70,70,90,100,70,すいすい,あめうけざら,*マイペース
273,タネボー,タネボー,Seedot,くさ,,40,40,50,30,30,30,ようりょくそ,はやおき,*わるいてぐせ
274,コノハナ,コノハナ,Nuzleaf,くさ,あく,70,70,40,60,40,60,ようりょくそ,はやおき,*わるいてぐせ
275,ダーテング,ダーテング,Shiftry,くさ,あく,90,100,60,90,60,80,ようりょくそ,はやおき,*わるいてぐせ
833,カムカメ,カムカメ,Chewtle,みず,,50,64,50,38,38,44,がんじょうあご,シェルアーマー,*すいすい
834,カジリガメ,カジリガメ,Drednaw,みず,いわ,90,115,90,48,68,74,がんじょうあご,シェルアーマー,*すいすい
509,チョロネコ,チョロネコ,Purrloin,あく,,41,50,37,50,37,66,じゅうなん,かるわざ,*いたずらごころ
510,レパルダス,レパルダス,Liepard,あく,,64,88,50,88,50,106,じゅうなん,かるわざ,*いたずらごころ
835,ワンパチ,ワンパチ,Yamper,でんき,,59,45,50,40,50,26,たまひろい,,*びびり
836,パルスワン,パルスワン,Boltund,でんき,,69,90,60,90,60,121,がんじょうあご,,*かちき
659,ホルビー,ホルビー,Bunnelby,ノーマル,,38,36,38,32,36,57,ものひろい,ほおぶくろ,*ちからもち
660,ホルード,ホルード,Diggersby,ノーマル,じめん,85,56,77,50,77,78,ものひろい,ほおぶくろ,*ちからもち
572,チラーミィ,チラーミィ,Minccino,ノーマル,,55,50,40,40,40,75,メロメロボディ,テクニシャン,*スキルリンク
573,チラチーノ,チラチーノ,Cinccino,ノーマル,,75,95,60,65,60,115,メロメロボディ,テクニシャン,*スキルリンク
761,アマカジ,アマカジ,Bounsweet,くさ,,42,30,38,30,38,32,リーフガード,どんかん,*スイートベール
762,アママイコ,アママイコ,Steenee,くさ,,52,40,48,40,48,62,リーフガード,どんかん,*スイートベール
763,アマージョ,アマージョ,Tsareena,くさ,,72,120,98,50,98,72,リーフガード,じょおうのいげん,*スイートベール
43,ナゾノクサ,ナゾノクサ,Oddish,くさ,どく,45,50,55,75,65,30,ようりょくそ,,*にげあし
44,クサイハナ,クサイハナ,Gloom,くさ,どく,60,65,70,85,75,40,ようりょくそ,,*あくしゅう
45,ラフレシア,ラフレシア,Vileplume,くさ,どく,75,80,85,110,90,50,ようりょくそ,,*ほうし
182,キレイハナ,キレイハナ,Bellossom,くさ,,75,80,95,90,100,50,ようりょくそ,,*いやしのこころ
406,スボミー,スボミー,Budew,くさ,どく,40,30,35,50,70,55,しぜんかいふく,どくのトゲ,*リーフガード
315,ロゼリア,ロゼリア,Roselia,くさ,どく,50,60,45,100,80,65,しぜんかいふく,どくのトゲ,*リーフガード
407,ロズレイド,ロズレイド,Roserade,くさ,どく,60,70,65,125,105,90,しぜんかいふく,どくのトゲ,*テクニシャン
278,キャモメ,キャモメ,Wingull,みず,ひこう,40,30,30,55,30,85,するどいめ,うるおいボディ,*あめうけざら
279,ペリッパー,ペリッパー,Pelipper,みず,ひこう,60,50,100,95,70,65,するどいめ,あめふらし,*あめうけざら
595,バチュル,バチュル,Joltik,むし,でんき,50,47,50,57,50,65,ふくがん,きんちょうかん,*むしのしらせ
596,デンチュラ,デンチュラ,Galvantula,むし,でんき,70,77,60,97,60,108,ふくがん,きんちょうかん,*むしのしらせ
309,ラクライ,ラクライ,Electrike,でんき,,40,45,40,65,40,65,せいでんき,ひらいしん,*マイナス
310,ライボルト,ライボルト,Manectric,でんき,,70,75,60,105,60,105,せいでんき,ひらいしん,*マイナス
37,ロコン,ロコン(通常),Vulpix,ほのお,,38,41,40,50,65,65,もらいび,,*ひでり
37,ロコン,ロコン(アローラのすがた),Vulpix,こおり,,38,41,40,50,65,65,ゆきがくれ,,*ゆきふらし
38,キュウコン,キュウコン(通常),Ninetales,ほのお,,73,76,75,81,100,100,もらいび,,*ひでり
38,キュウコン,キュウコン(アローラのすがた),Ninetales,こおり,フェアリー,73,67,75,81,100,109,ゆきがくれ,,*ゆきふらし
58,ガーディ,ガーディ,Growlithe,ほのお,,55,70,45,70,50,60,いかく,もらいび,*せいぎのこころ
59,ウインディ,ウインディ,Arcanine,ほのお,,90,110,80,100,80,95,いかく,もらいび,*せいぎのこころ
582,バニプッチ,バニプッチ,Vanillite,こおり,,36,50,50,65,60,44,アイスボディ,ゆきがくれ,*くだけるよろい
583,バニリッチ,バニリッチ,Vanillish,こおり,,51,65,65,80,75,59,アイスボディ,ゆきがくれ,*くだけるよろい
584,バイバニラ,バイバニラ,Vanilluxe,こおり,,71,95,85,110,95,79,アイスボディ,ゆきふらし,*くだけるよろい
220,ウリムー,ウリムー,Swinub,こおり,じめん,50,50,40,30,30,50,どんかん,ゆきがくれ,*あついしぼう
221,イノムー,イノムー,Piloswine,こおり,じめん,100,100,80,60,60,50,どんかん,ゆきがくれ,*あついしぼう
473,マンムー,マンムー,Mamoswine,こおり,じめん,110,130,80,70,60,80,どんかん,ゆきがくれ,*あついしぼう
225,デリバード,デリバード,Delibird,こおり,ひこう,45,55,45,65,45,75,やるき,はりきり,*ふみん
361,ユキワラシ,ユキワラシ,Snorunt,こおり,,50,50,50,50,50,50,せいしんりょく,アイスボディ,*ムラっけ
362,オニゴーリ,オニゴーリ,Glalie,こおり,,80,80,80,80,80,80,せいしんりょく,アイスボディ,*ムラっけ
478,ユキメノコ,ユキメノコ,Froslass,こおり,ゴースト,70,80,70,80,70,110,ゆきがくれ,,*のろわれボディ
343,ヤジロン,ヤジロン,Baltoy,じめん,エスパー,40,40,55,40,70,55,ふゆう,,
344,ネンドール,ネンドール,Claydol,じめん,エスパー,60,70,105,70,120,75,ふゆう,,
749,ドロバンコ,ドロバンコ,Mudbray,じめん,,70,100,70,45,55,45,マイペース,じきゅうりょく,*せいしんりょく
750,バンバドロ,バンバドロ,Mudsdale,じめん,,100,125,100,55,85,35,マイペース,じきゅうりょく,*せいしんりょく
557,イシズマイ,イシズマイ,Dwebble,むし,いわ,50,65,85,35,35,55,がんじょう,シェルアーマー,*くだけるよろい
558,イワパレス,イワパレス,Crustle,むし,いわ,70,105,125,65,75,45,がんじょう,シェルアーマー,*くだけるよろい
622,ゴビット,ゴビット,Golett,じめん,ゴースト,59,74,50,35,50,35,てつのこぶし,ぶきよう,*ノーガード
623,ゴルーグ,ゴルーグ,Golurk,じめん,ゴースト,89,124,80,55,80,55,てつのこぶし,ぶきよう,*ノーガード
517,ムンナ,ムンナ,Munna,エスパー,,76,25,45,67,55,24,よちむ,シンクロ,*テレパシー
518,ムシャーナ,ムシャーナ,Musharna,エスパー,,116,55,85,107,95,29,よちむ,シンクロ,*テレパシー
177,ネイティ,ネイティ,Natu,エスパー,ひこう,40,50,45,70,45,70,シンクロ,はやおき,*マジックミラー
178,ネイティオ,ネイティオ,Xatu,エスパー,ひこう,65,75,70,95,70,95,シンクロ,はやおき,*マジックミラー
759,ヌイコグマ,ヌイコグマ,Stufful,ノーマル,かくとう,70,75,50,45,50,50,もふもふ,ぶきよう,*メロメロボディ
760,キテルグマ,キテルグマ,Bewear,ノーマル,かくとう,120,125,80,55,60,60,もふもふ,ぶきよう,*きんちょうかん
459,ユキカブリ,ユキカブリ,Snover,くさ,こおり,60,62,50,62,60,40,ゆきふらし,,*ぼうおん
460,ユキノオー,ユキノオー,Abomasnow,くさ,こおり,90,92,75,92,85,60,ゆきふらし,,*ぼうおん
98,クラブ,クラブ,Krabby,みず,,30,105,90,25,25,50,かいりきバサミ,シェルアーマー,*ちからずく
99,キングラー,キングラー,Kingler,みず,,55,130,115,50,50,75,かいりきバサミ,シェルアーマー,*ちからずく
194,ウパー,ウパー,Wooper,みず,じめん,55,45,45,25,25,15,しめりけ,ちょすい,*てんねん
195,ヌオー,ヌオー,Quagsire,みず,じめん,95,85,85,65,65,35,しめりけ,ちょすい,*てんねん
341,ヘイガニ,ヘイガニ,Corphish,みず,,43,80,65,50,35,35,かいりきバサミ,シェルアーマー,*てきおうりょく
342,シザリガー,シザリガー,Crawdaunt,みず,あく,63,120,85,90,55,55,かいりきバサミ,シェルアーマー,*てきおうりょく
290,ツチニン,ツチニン,Nincada,むし,じめん,31,45,90,30,30,40,ふくがん,,*にげあし
291,テッカニン,テッカニン,Ninjask,むし,ひこう,61,90,45,50,50,160,かそく,,*すりぬけ
292,ヌケニン,ヌケニン,Shedinja,むし,ゴースト,1,90,45,30,30,40,ふしぎなまもり,,
236,バルキー,バルキー,Tyrogue,かくとう,,35,35,35,35,35,35,こんじょう,ふくつのこころ,*やるき
106,サワムラー,サワムラー,Hitmonlee,かくとう,,50,120,53,35,110,87,じゅうなん,すてみ,*かるわざ
107,エビワラー,エビワラー,Hitmonchan,かくとう,,50,105,79,35,110,76,するどいめ,てつのこぶし,*せいしんりょく
237,カポエラー,カポエラー,Hitmontop,かくとう,,50,95,95,35,110,70,いかく,テクニシャン,*ふくつのこころ
674,ヤンチャム,ヤンチャム,Pancham,かくとう,,67,82,62,46,48,43,てつのこぶし,かたやぶり,*きもったま
675,ゴロンダ,ゴロンダ,Pangoro,かくとう,あく,95,124,78,69,71,58,てつのこぶし,かたやぶり,*きもったま
599,ギアル,ギアル,Klink,はがね,,40,55,70,45,60,30,プラス,マイナス,*クリアボディ
600,ギギアル,ギギアル,Klang,はがね,,60,80,95,70,85,50,プラス,マイナス,*クリアボディ
601,ギギギアル,ギギギアル,Klinklang,はがね,,60,100,115,70,85,90,プラス,マイナス,*クリアボディ
415,ミツハニー,ミツハニー,Combee,むし,ひこう,30,30,42,30,42,70,みつあつめ,,*はりきり
416,ビークイン,ビークイン,Vespiquen,むし,ひこう,70,80,102,80,102,40,プレッシャー,,*きんちょうかん
436,ドーミラー,ドーミラー,Bronzor,はがね,エスパー,57,24,86,24,86,23,ふゆう,たいねつ,*ヘヴィメタル
437,ドータクン,ドータクン,Bronzong,はがね,エスパー,67,89,116,79,116,33,ふゆう,たいねつ,*ヘヴィメタル
280,ラルトス,ラルトス,Ralts,エスパー,フェアリー,28,25,25,45,35,40,シンクロ,トレース,*テレパシー
281,キルリア,キルリア,Kirlia,エスパー,フェアリー,38,35,35,65,55,50,シンクロ,トレース,*テレパシー
282,サーナイト,サーナイト,Gardevoir,エスパー,フェアリー,68,65,65,125,115,80,シンクロ,トレース,*テレパシー
475,エルレイド,エルレイド,Gallade,エスパー,かくとう,68,125,65,65,115,80,ふくつのこころ,,*せいぎのこころ
425,フワンテ,フワンテ,Drifloon,ゴースト,ひこう,90,50,34,60,44,70,ゆうばく,かるわざ,*ねつぼうそう
426,フワライド,フワライド,Drifblim,ゴースト,ひこう,150,80,44,90,54,80,ゆうばく,かるわざ,*ねつぼうそう
829,ヒメンカ,ヒメンカ,Gossifleur,くさ,,40,40,60,40,60,10,わたげ,さいせいりょく,*ほうし
830,ワタシラガ,ワタシラガ,Eldegoss,くさ,,60,50,90,80,120,60,わたげ,さいせいりょく,*ほうし
420,チェリンボ,チェリンボ,Cherubi,くさ,,45,35,45,62,53,35,ようりょくそ,,
421,チェリム,チェリム,Cherrim,くさ,,70,60,70,87,78,85,フラワーギフト,,
434,スカンプー,スカンプー,Stunky,どく,あく,63,63,47,41,41,74,あくしゅう,ゆうばく,*するどいめ
435,スカタンク,スカタンク,Skuntank,どく,あく,103,93,67,71,61,84,あくしゅう,ゆうばく,*するどいめ
535,オタマロ,オタマロ,Tympole,みず,,50,50,40,50,40,64,すいすい,うるおいボディ,*ちょすい
536,ガマガル,ガマガル,Palpitoad,みず,じめん,75,65,55,65,55,69,すいすい,うるおいボディ,*ちょすい
537,ガマゲロゲ,ガマゲロゲ,Seismitoad,みず,じめん,105,95,75,85,75,74,すいすい,どくしゅ,*ちょすい
355,ヨマワル,ヨマワル,Duskull,ゴースト,,20,40,90,30,90,25,ふゆう,,*おみとおし
356,サマヨール,サマヨール,Dusclops,ゴースト,,40,70,130,60,130,25,プレッシャー,,*おみとおし
477,ヨノワール,ヨノワール,Dusknoir,ゴースト,,45,100,135,65,135,45,プレッシャー,,*おみとおし
66,ワンリキー,ワンリキー,Machop,かくとう,,70,80,50,35,35,35,こんじょう,ノーガード,*ふくつのこころ
67,ゴーリキー,ゴーリキー,Machoke,かくとう,,80,100,70,50,60,45,こんじょう,ノーガード,*ふくつのこころ
68,カイリキー,カイリキー,Machamp,かくとう,,90,130,80,65,85,55,こんじょう,ノーガード,*ふくつのこころ
92,ゴース,ゴース,Gastly,ゴースト,どく,30,35,30,100,35,80,ふゆう,,
93,ゴースト,ゴースト,Haunter,ゴースト,どく,45,50,45,115,55,95,ふゆう,,
94,ゲンガー,ゲンガー,Gengar,ゴースト,どく,60,65,60,130,75,110,のろわれボディ,,
129,コイキング,コイキング,Magikarp,みず,,20,10,55,15,20,80,すいすい,,*びびり
130,ギャラドス,ギャラドス,Gyarados,みず,ひこう,95,125,79,60,100,81,いかく,,*じしんかじょう
118,トサキント,トサキント,Goldeen,みず,,45,67,60,35,50,63,すいすい,みずのベール,*ひらいしん
119,アズマオウ,アズマオウ,Seaking,みず,,80,92,65,65,80,68,すいすい,みずのベール,*ひらいしん
223,テッポウオ,テッポウオ,Remoraid,みず,,35,65,35,65,35,65,はりきり,スナイパー,*ムラっけ
224,オクタン,オクタン,Octillery,みず,,75,105,75,105,75,45,きゅうばん,スナイパー,*ムラっけ
90,シェルダー,シェルダー,Shellder,みず,,30,65,100,45,25,40,シェルアーマー,スキルリンク,*ぼうじん
91,パルシェン,パルシェン,Cloyster,みず,こおり,50,95,180,85,45,70,シェルアーマー,スキルリンク,*ぼうじん
349,ヒンバス,ヒンバス,Feebas,みず,,20,15,20,10,55,80,すいすい,どんかん,*てきおうりょく
350,ミロカロス,ミロカロス,Milotic,みず,,95,60,79,100,125,81,ふしぎなうろこ,かちき,*メロメロボディ
550,バスラオ,バスラオ(あかすじ),Basculin,みず,,70,92,65,80,55,98,すてみ,てきおうりょく,*かたやぶり
550,バスラオ,バスラオ(あおすじ),Basculin,みず,,70,92,65,80,55,98,いしあたま,てきおうりょく,*かたやぶり
746,ヨワシ,ヨワシ(たんどくのすがた),Wishiwashi,みず,,45,20,20,25,25,40,ぎょぐん,,
746,ヨワシ,ヨワシ(むれたすがた),Wishiwashi,みず,,45,140,130,140,135,30,ぎょぐん,,
771,ナマコブシ,ナマコブシ,Pyukumuku,みず,,55,60,130,30,130,5,とびだすなかみ,,*てんねん
568,ヤブクロン,ヤブクロン,Trubbish,どく,,50,50,62,40,62,65,あくしゅう,ねんちゃく,*ゆうばく
569,ダストダス,ダストダス,Garbodor,どく,,80,95,82,60,82,75,あくしゅう,くだけるよろい,*ゆうばく
850,ヤクデ,ヤクデ,Sizzlipede,ほのお,むし,50,65,45,50,50,45,もらいび,しろいけむり,*ほのおのからだ
851,マルヤクデ,マルヤクデ,Centiskorch,ほのお,むし,100,115,65,90,90,65,もらいび,しろいけむり,*ほのおのからだ
837,タンドン,タンドン,Rolycoly,いわ,,30,40,50,40,50,30,じょうききかん,たいねつ,*もらいび
838,トロッゴン,トロッゴン,Carkol,いわ,ほのお,80,60,90,60,70,50,じょうききかん,ほのおのからだ,*もらいび
839,セキタンザン,セキタンザン,Coalossal,いわ,ほのお,110,80,120,80,90,30,じょうききかん,ほのおのからだ,*もらいび
50,ディグダ,ディグダ(通常),Diglett,じめん,,10,55,25,35,45,95,すながくれ,ありじごく,*すなのちから
50,ディグダ,ディグダ(アローラのすがた),Diglett,じめん,はがね,10,55,30,35,45,90,すながくれ,カーリーヘアー,*すなのちから
51,ダグトリオ,ダグトリオ(通常),Dugtrio,じめん,,35,100,50,50,70,120,すながくれ,ありじごく,*すなのちから
51,ダグトリオ,ダグトリオ(アローラのすがた),Dugtrio,じめん,はがね,35,100,60,50,70,110,すながくれ,カーリーヘアー,*すなのちから
529,モグリュー,モグリュー,Drilbur,じめん,,60,85,40,30,45,68,すなかき,すなのちから,*かたやぶり
530,ドリュウズ,ドリュウズ,Excadrill,じめん,はがね,110,135,60,50,65,88,すなかき,すなのちから,*かたやぶり
524,ダンゴロ,ダンゴロ,Roggenrola,いわ,,55,75,85,25,25,15,がんじょう,くだけるよろい,*すなのちから
525,ガントル,ガントル,Boldore,いわ,,70,105,105,50,40,20,がんじょう,くだけるよろい,*すなのちから
526,ギガイアス,ギガイアス,Gigalith,いわ,,85,135,130,60,80,25,がんじょう,すなおこし,*すなのちから
532,ドッコラー,ドッコラー,Timburr,かくとう,,75,80,55,25,35,35,こんじょう,ちからずく,*てつのこぶし
533,ドテッコツ,ドテッコツ,Gurdurr,かくとう,,85,105,85,40,50,40,こんじょう,ちからずく,*てつのこぶし
534,ローブシン,ローブシン,Conkeldurr,かくとう,,105,140,95,55,65,45,こんじょう,ちからずく,*てつのこぶし
527,コロモリ,コロモリ,Woobat,エスパー,ひこう,65,45,43,55,43,72,てんねん,ぶきよう,*たんじゅん
528,ココロモリ,ココロモリ,Swoobat,エスパー,ひこう,67,57,55,77,55,114,てんねん,ぶきよう,*たんじゅん
714,オンバット,オンバット,Noibat,ひこう,ドラゴン,40,30,35,45,40,55,おみとおし,すりぬけ,*テレパシー
715,オンバーン,オンバーン,Noivern,ひこう,ドラゴン,85,70,80,97,80,123,おみとおし,すりぬけ,*テレパシー
95,イワーク,イワーク,Onix,いわ,じめん,35,45,160,30,45,70,いしあたま,がんじょう,*くだけるよろい
208,ハガネール,ハガネール,Steelix,はがね,じめん,75,85,200,55,65,30,いしあたま,がんじょう,*ちからずく
846,サシカマス,サシカマス,Arrokuda,みず,,41,63,40,40,30,66,すいすい,,*スクリューおびれ
847,カマスジョー,カマスジョー,Barraskewda,みず,,61,123,60,60,50,136,すいすい,,*スクリューおびれ
52,ニャース,ニャース(通常),Meowth,ノーマル,,40,45,35,40,40,90,ものひろい,テクニシャン,*きんちょうかん
52,ニャース,ニャース(アローラのすがた),Meowth,あく,,40,35,35,50,40,90,ものひろい,テクニシャン,*びびり
52,ニャース,ニャース(ガラルのすがた),Meowth,はがね,,50,65,55,40,40,40,ものひろい,かたいツメ,*きんちょうかん
863,ニャイキング,ニャイキング,Perrserker,はがね,,70,110,100,50,60,50,カブトアーマー,かたいツメ,*はがねのせいしん
53,ペルシアン,ペルシアン(通常),Persian,ノーマル,,65,70,60,65,65,115,じゅうなん,テクニシャン,*きんちょうかん
53,ペルシアン,ペルシアン(アローラのすがた),Persian,あく,,65,60,60,75,65,115,ファーコート,テクニシャン,*びびり
868,マホミル,マホミル,Milcery,フェアリー,,45,40,40,50,61,34,スイートベール,,*アロマベール
869,マホイップ,マホイップ,Alcremie,フェアリー,,65,60,75,110,121,64,スイートベール,,*アロマベール
742,アブリー,アブリー,Cutiefly,むし,フェアリー,40,45,40,55,40,84,みつあつめ,りんぷん,*スイートベール
